"","text"
"403"," kacrut banget hahaha  mikiran ky gitu ya ntes aja jokowi  riode "
"404","  "
"405"," susah mas  ndukung anies   yg benci jokowi   riode  dana tau "
"406","  ga normal gue mah ga sing bro emangnya lo ngakunya wara "
"407","presiden jokowi   menolak usulan rnjangan  jabatan esiden  riodehal  disamikan "
"408"," iya kebalikannya kl  tolak jokowi  riode krn melanggar konstitusi eh  bilangkalo rakyat "
"409"," negri   maju yg hancur  otak  kiranmu   riode jokowi otak  "
"410"," darida lesan  buang dana yg   utk rsatuan  kesatuan bangsa indonesia  bai "
"411"," kadrunn sakit hati jokowi  riode   aja  cebong move on tolol"
"412","kereta a rtama  sulawesi  kelar  era jokowi presiden   riode ngain aja ya  "
"413"," ya sti mimn  lahjokowi  udh  riodeyg sti mimn barunya  pecatanngurus "
"414","  beda skrg jokowi sdh tdk   riode "
"415"," gobloknya rakyat indonesiadibohongi jokowi sami  riode"
"416"," bagaimanan jokowi  esiden  terlih  milu    riode "
"417"," jawabanya  siml  k jokowi  riode"
"418","    menjabat  periode  pesimis ta  bak tidk  terlih kecuali "
"419"," berndat a  bebas silahkan  menyebut  dorong jokowi  periode  bisaatau a aja "
"420"," jokowi esiden  riodesementara elo  tukang fitnah yg berkela botakwkwk"
"421","  rcaya jokowi  riode darida ginian sih"
"422"," mumng    pdip golkar  berseberangan   kesemtan utk makzulkan jokow "
"423"," jokowi   dilih warga aceh ta tetamenang  esiden  riode "
"424","  suka terobosan k jokowi lanjutkan  riode"
"425","rizal ramli blak blakan dendam jokowi  cemen am luhut otak  periode via "
"426"," udah diem   lemr sendal k abowopak jokowi ogah  riode jatah k abowo  k ganjar"
"427","  jokowi  esiden  riode anis   caes eciden doang belom    eciden muhehehe "
"428"," dukung jokowi  riode"
"429","presiden jokowi  periode "
"430","  lih jokowi   riode"
"431","   nyinyir bongfaktanya  kemarin  undangacara jokowi gerilya  riodeundangan "
"432"," maunya milu tu   mpr  ambisi  riode"
"433"," pemerintah mmg kliatan normal lu yg gk normal tinggal nunggu  "
"434"," iya msh aman  r t     t mayan  modal  riode nanggung  jokowi habisin aja sisanya "
"435","  jerman fokus kamnye aja sih  kabarnya   jokowi  menang  riode  kai ti "
"436","imingiminga yg trjadi trhdnegeri   d dileskan    ulang  atasyahimingiming j "
"437","  bangga  mobil iniasli buatan nkrihidu riode "
"438"," semenjak jokowi jd esiden hidunya kaum bani kadrun bener  menyedihkan tiada  "
"439"," faktanya terbalik   riode jokowi kpk  kebiri  dilemahkan nyadan dibatas "
"440"," ambigujokowi dilarang  riode  anies mah   didukung"
"441","menkominfo  rkembangan teknologi digital    terles  ra rintis keb "
"442"," bonus  riode  rakyat coba hebatnya dimana klo emg  akui hebat  ngka "
"443"," jokowi menang  riode   karna ngk  lihan   aja  yg sombong"
"444","  sami  jokowi esiden yg terbaik  ra nggantinya  diragukan kemamannyaja "
"445"," sami  jokowi esiden yg terbaik  ra nggantinya  diragukan kemamannyajangan ambil "
"446"," nunggu jokowi  riode"
"447","  sami  jokowi esiden yg terbaik  ra nggantinya  diragukan kemamannyajang "
"448"," takut kehilangan job lu bong klo jokowi gk  riode lu  jd sales"
"449"," den jokowi teriak  riodeden ganjar dukung nyaesbahhhh lllluuuullll"
"450","  baca k suya ham   dibangun   jalan tol    njela "
"451"," jokowi lanjutkan  riode"
"452","relawan   partai bikin partai relawan jokowi  periode  "
"453"," setuju k de jokowi  riode     utk indonesia hebat  kuat"
"454","oii cebong goblok  tolol alasannya   harajokowi  riode  buta hukum buta undang undang ali "
"455","    rioe lanyalla silahkan jokowi  periode "
"456"," biar  hemat jokowi  periodelanjut  periode "
"457","   hancur  riode "
"458"," sya  jokowi   periode"
"459"," sby tan bebanjokowi  sibuk dahal   tahunawal jabat riode  bi "
"460","  sur narasi k presiden   den ndidikan indonesia  ra guru  tuman ban "
"461","  yg menyuarakan jokowi  riode mreka teriak melanggar konstitusisaat  yg usul milihan esiden kem "
"462","  yg tdk melanggar hukum klo   "
"463","  k jokowi  riode  allah  tetak jokowi yg memimn negara "
"464","anies baswedan vs jokowibanyak  akunakun litik  membandingkan  anies baswedan  jokowi me "
"465"," aneh banget si  akun  membandingkan anies baswedan  jokowi jokowi "
"466"," la melu emang  riode sukses "
"467"," jokowi  udah berhasil  esiden  riode  gak  membandingkan ya"
"468"," lanyalla silahkan jokowi  periode tolakriode "
"469","  riode  lanyalla silahkan jokowi  periode "
"470","    lanyalla silahkan jokowi  periode tolakriode "
"471","takziyah  rumah duka ferry mursyidan jokowi dunia perlitikan indonesia kehilangan tokoh   presiden j "
"472"," wuih keren jokowi disambut meriah  aceh tan imingiming sembako  uang ceban keren hidu "
"473","  menuntut jokowi mundur  bersatu dukung jokowi  riode biar kadrun kebakaran jenggotkaum goblog"
"474","redaksional narasi kulture  keren lan majlebkulture kesenian  kebudayaan nusantara  senjata m "
"475"," udah seringggg  menolak  riodeyg nama "
"476","san tersembunyi cari tensi jak  mengurangi subsidi harga hamr  kebutuhan    "
"477"," yg namanya aturan  riode tetedi laksanaka "
"478","  negara maritim maun negara agraris  rcuma kalo negara yg diwakili merintahan  be "
"479","  eksrimen indonesia  riode rtama da "
"480"," ty dewakerang  rkosa  hukum dasar   riode  dewakerang  mul "
"481"," tasline  yo ngine k jkw  riode loh k tyo terserah wis nggantine   b "
"482"," joko cm rlu  riode  atur  galaksi "
"483"," dewalt butuh  riode biar  atur freert "
"484"," sia ling beruntung  menikmati terlihnya anies hasil  pilkada    umat krist "
"485","setunggal riode maleh k esiden  "
"486","setunggal riode maleh k esiden  "
"487","setunggal riode maleh k esiden hebat  manta nekad  "
"488"," jokowi sdh memimn indonesia   riode   rakyat  diajukan lgi  maju  "
"489"," presiden jokowi sdh memimn indonesia   riode  klo diajukan lgi  esiden utk riode  "
"490","  kayak     menggoreng isu kalo pakde   riode"
"491","ferry mursyidan baldan menteri atr periode  jokowi meninggal dunia turutberdukacita"
"492","firasat  prabowo   k jokowi  presidenta  kncuma  riode"
"493","  jokowi tau  krn  dilih rakyat  riode mknya kerja keras  rakyatnya dn emangnya "
"494","   disekati jokowi  riode kena "
"495","kasian mulut kuda nil  kayaknya stress berat untung dak sami stroke  ya kalo sami k jokowi  "
"496","   bak presiden    taat terhadaraturan  dimana  uu kons "
"497","mendesak  k mohon rhatian  kpu   berterimakasih  bak    menola "
"498","  gw ojo bro gw riode  coblos klo skrang ekonomi ancur  fakta kta kgk bsa ngeles lgi k "
"499"," saran relawan jokowi bikin acara jokowi  riode   saingin kaum kadrun  nkri croscek kekuatan les"
"500","  lu anies timsukses jokowi riode  begitun nasdemmereka  sdh nya kartu as  "
